,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,international_gross,genre_ids
0,1,18-Dec-09,Avatar,425,760,2776,2016,"[action, adventure, fantasy, sci-fi]"
1,2,20-May-11,Pirates of the Caribbean: On Stranger Tides,410,241,1045,804,"[adventure, action, fantasy]"
2,4,1-May-15,Avengers: Age of Ultron,330,459,1403,944,"[action, adventure, sci-fi]"
3,7,27-Apr-18,Avengers: Infinity War,300,678,2048,1370,"[adventure, action, fantasy]"
4,9,17-Nov-17,Justice League,300,229,655,426,"[action, adventure, fantasy, sci-fi]"
5,9,17-Nov-17,Justice League,300,229,655,426,"[action, adventure, fantasy, sci-fi]"
6,10,6-Nov-15,Spectre,300,200,879,679,"[action, adventure, crime]"
7,10,6-Nov-15,Spectre,300,200,879,679,"[action, adventure, crime]"
8,11,20-Jul-12,The Dark Knight Rises,275,448,1084,636,"[action, crime, drama, thriller]"
9,12,25-May-18,Solo: A Star Wars Story,275,213,393,180,"[action, adventure, sci-fi]"
10,13,2-Jul-13,The Lone Ranger,275,89,260,171,"[action, adventure, western]"
11,14,9-Mar-12,John Carter,275,73,282,209,"[action, adventure, sci-fi]"
12,15,24-Nov-10,Tangled,260,200,586,386,"[animation, family]"
13,17,6-May-16,Captain America: Civil War,250,408,1140,732,"[adventure, action, sci-fi]"
14,18,25-Mar-16,Batman v Superman: Dawn of Justice,250,330,867,537,"[action, adventure, fantasy]"
15,19,14-Dec-12,The Hobbit: An Unexpected Journey,250,303,1017,714,"[adventure, fantasy, action]"
16,21,13-Dec-13,The Hobbit: The Desolation of Smaug,250,258,960,702,"[adventure, fantasy, action]"
17,22,17-Dec-14,The Hobbit: The Battle of the Five Armies,250,255,945,690,"[action, adventure, fantasy]"
18,23,14-Apr-17,The Fate of the Furious,250,225,1234,1009,"[action, crime, thriller]"
19,25,26-May-17,Pirates of the Caribbean: Dead Men Tell No Tales,230,172,788,616,"[adventure, action, fantasy, comedy]"
20,27,4-May-12,The Avengers,225,623,1517,894,"[sci-fi, action, adventure]"
21,35,14-Aug-98,The Avengers,60,23,48,25,"[sci-fi, action, adventure]"
22,29,14-Jun-13,Man of Steel,225,291,667,376,"[action, adventure, fantasy, sci-fi]"
23,31,3-Jul-12,The Amazing Spider-Man,220,262,757,495,"[action, adventure, fantasy]"
24,32,18-May-12,Battleship,220,65,313,248,"[thriller, action, adventure, sci-fi]"
25,33,21-Jun-17,Transformers: The Last Knight,217,130,602,472,"[action, sci-fi, thriller, adventure]"
26,34,12-Jun-15,Jurassic World,215,652,1648,996,"[action, adventure, sci-fi, thriller]"
27,35,25-May-12,Men in Black 3,215,179,654,475,"[action, comedy, sci-fi]"
28,37,27-Jun-14,Transformers: Age of Extinction,210,245,1104,859,"[sci-fi, action, adventure]"
29,39,14-May-10,Robin Hood,210,105,322,217,"[action, adventure, drama]"
30,39,14-May-10,Robin Hood,210,105,322,217,"[adventure, animation, family]"
31,39,14-May-10,Robin Hood,210,105,322,217,"[adventure, action, thriller]"
32,9,21-Nov-18,Robin Hood,99,30,84,54,"[action, adventure, drama]"
33,9,21-Nov-18,Robin Hood,99,30,84,54,"[adventure, animation, family]"
34,9,21-Nov-18,Robin Hood,99,30,84,54,"[adventure, action, thriller]"
35,42,16-Feb-18,Black Panther,200,700,1348,648,"[action, animation]"
36,42,16-Feb-18,Black Panther,200,700,1348,648,"[action, adventure, fantasy, sci-fi]"
37,44,15-Jun-18,Incredibles 2,200,608,1242,634,"[action, adventure, animation, family]"
38,45,16-Dec-16,Rogue One: A Star Wars Story,200,532,1049,517,"[action, adventure, sci-fi]"
39,45,16-Dec-16,Rogue One: A Star Wars Story,200,532,1049,517,"[action, adventure, sci-fi]"
40,46,17-Jun-16,Finding Dory,200,486,1021,535,"[adventure, animation, comedy, family]"
41,47,18-Jun-10,Toy Story 3,200,415,1068,653,"[animation, family, comedy]"
42,48,3-May-13,Iron Man 3,200,408,1215,807,"[action, adventure, sci-fi]"
43,51,5-Mar-10,Alice in Wonderland,200,334,1025,691,"[family, fantasy, adventure]"
44,51,5-Mar-10,Alice in Wonderland,200,334,1025,691,[]
45,52,8-Nov-12,Skyfall,200,304,1110,806,"[action, adventure, thriller]"
46,53,21-Jun-13,Monsters University,200,268,743,475,"[animation, family]"
47,54,8-Mar-13,Oz the Great and Powerful,200,234,490,256,"[fantasy, adventure, family]"
48,55,23-May-14,X-Men: Days of Future Past,200,233,747,514,"[action, adventure, fantasy, sci-fi]"
49,56,2-May-14,The Amazing Spider-Man 2,200,202,708,506,"[action, adventure, fantasy]"
50,57,24-Jun-11,Cars 2,200,191,560,369,"[animation, family, adventure, comedy]"
51,59,13-Nov-09,2012,200,166,757,591,[documentary]
52,60,16-Nov-18,Fantastic Beasts: The Crimes of Grindelwald,200,159,652,493,[adventure]
53,62,17-Jun-11,Green Lantern,200,116,219,103,"[adventure, action, thriller, sci-fi]"
54,64,29-Jun-11,Transformers: Dark of the Moon,195,352,1123,771,"[action, sci-fi, adventure]"
55,65,9-Jun-17,The Mummy,195,80,409,329,"[fantasy, thriller, action, adventure, horror]"
56,44,7-May-99,The Mummy,80,155,416,261,"[fantasy, thriller, action, adventure, horror]"
57,66,1-Mar-13,Jack the Giant Slayer,195,65,197,132,"[action, adventure, family, fantasy]"
58,67,3-Apr-15,Furious 7,190,353,1518,1165,"[action, crime, thriller]"
59,68,16-May-13,Star Trek Into Darkness,190,228,467,239,"[action, adventure, sci-fi]"
60,69,21-Jun-13,World War Z,190,202,531,329,"[action, drama, horror, sci-fi, thriller]"
61,70,10-May-13,The Great Gatsby,190,144,351,207,"[drama, romance]"
62,72,12-Jul-13,Pacific Rim,190,101,411,310,"[action, sci-fi, adventure]"
63,73,25-Nov-15,The Good Dinosaur,187,123,333,210,"[adventure, animation, family]"
64,73,25-Nov-15,The Good Dinosaur,187,123,333,210,"[adventure, animation, family]"
65,75,18-Jul-08,The Dark Knight,185,533,1001,468,"[action, crime, drama, thriller]"
66,77,22-Jun-12,Brave,185,237,554,317,[action]
67,77,22-Jun-12,Brave,185,237,554,317,"[animation, adventure, comedy, family, action, fantasy]"
68,78,10-Mar-17,Kong: Skull Island,185,168,561,393,"[action, adventure, fantasy]"
69,79,22-Jul-16,Star Trek Beyond,185,158,335,177,"[action, adventure, sci-fi]"
70,80,6-Oct-17,Blade Runner 2049,185,92,259,167,"[sci-fi, action, thriller]"
71,80,6-Oct-17,Blade Runner 2049,185,92,259,167,"[sci-fi, action, thriller]"
72,82,3-Nov-17,Thor: Ragnarok,180,315,846,531,"[action, adventure, comedy, fantasy]"
73,82,3-Nov-17,Thor: Ragnarok,180,315,846,531,"[action, adventure, comedy, fantasy]"
74,84,30-May-14,Maleficent,180,241,758,517,"[fantasy, adventure, action, family, romance]"
75,85,18-Nov-16,Fantastic Beasts and Where to Find Them,180,234,802,568,"[adventure, family, fantasy]"
76,85,18-Nov-16,Fantastic Beasts and Where to Find Them,180,234,802,568,"[adventure, family, fantasy]"
77,88,1-Jul-16,The Legend of Tarzan,180,126,348,222,"[action, adventure]"
78,89,23-Nov-11,Hugo,180,73,180,107,"[adventure, drama, family]"
79,90,21-Jul-17,Valerian and the City of a Thousand Planets,180,40,215,175,"[adventure, sci-fi, action]"
80,91,6-Feb-15,Jupiter Ascending,179,47,181,134,"[sci-fi, fantasy, action, adventure]"
81,93,27-May-16,X-Men: Apocalypse,178,155,542,387,"[action, adventure, sci-fi, fantasy]"
82,94,10-Aug-18,The Meg,178,145,529,384,"[action, sci-fi, thriller, horror]"
83,95,6-Jun-14,Edge of Tomorrow,178,100,370,270,"[action, sci-fi]"
84,97,15-Apr-16,The Jungle Book,175,364,962,598,"[adventure, drama, family, fantasy]"
85,98,19-Jun-15,Inside Out,175,356,854,498,"[drama, crime]"
86,98,19-Jun-15,Inside Out,175,356,854,498,"[drama, comedy, animation, family]"
87,99,7-Jul-17,Spider-Man: Homecoming,175,334,880,546,"[action, adventure, sci-fi, drama]"
88,100,5-Aug-16,Suicide Squad,175,325,746,421,"[action, adventure, crime, fantasy, sci-fi]"
89,2,22-Nov-17,Coco,175,209,798,589,"[animation, family, comedy, adventure, fantasy]"
90,2,22-Nov-17,Coco,175,209,798,589,"[animation, family, comedy, adventure, fantasy]"
91,5,16-Jun-17,Cars 3,175,152,383,231,"[adventure, animation, comedy, family]"
92,11,12-May-17,King Arthur: Legend of the Sword,175,39,139,100,"[action, drama, fantasy]"
93,12,25-Dec-13,47 Ronin,175,38,151,113,"[drama, action, adventure, fantasy]"
94,13,22-Jun-18,Jurassic World: Fallen Kingdom,170,417,1305,888,"[action, adventure, sci-fi]"
95,14,1-Aug-14,Guardians of the Galaxy,170,333,770,437,"[action, sci-fi, adventure]"
96,15,7-May-10,Iron Man 2,170,312,621,309,"[adventure, action, sci-fi]"
97,16,4-Apr-14,Captain America: The Winter Soldier,170,259,714,455,"[action, adventure, sci-fi]"
98,17,11-Jul-14,Dawn of the Planet of the Apes,170,208,710,502,"[sci-fi, action, drama, thriller]"
99,19,1-Jun-12,Snow White and the Huntsman,170,155,401,246,"[adventure, fantasy, drama]"
100,21,7-May-04,Van Helsing,170,120,300,180,"[horror, adventure, action]"
101,23,22-May-15,Tomorrowland,170,93,206,113,"[adventure, family, mystery, sci-fi]"
102,26,27-May-16,Alice Through the Looking Glass,170,77,276,199,"[adventure, family, fantasy]"
103,27,21-May-10,Shrek Forever After,165,238,756,518,"[comedy, adventure, fantasy, animation, family]"
104,28,4-Nov-16,Doctor Strange,165,232,676,444,"[action, adventure, fantasy, sci-fi]"
105,28,4-Nov-16,Doctor Strange,165,232,676,444,"[action, adventure, fantasy, sci-fi]"
106,29,7-Nov-14,Big Hero 6,165,222,652,430,"[adventure, family, animation, action, comedy]"
