,Unnamed: 0,title,clean_title,studio,domestic_gross,foreign_gross,year,genre_imdb,genre_tndb,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,TV Movie,Thriller,War,Western,Biography,Sport,Musical
0,0,Toy Story 3,toy story 3,BV,415000000.0,652000000.0,2010,"Adventure,Animation,Comedy","[16, 10751, 35]",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1,1,Alice in Wonderland,alice in wonderland,BV,334200000.0,691300000.0,2010,"Adventure,Family,Fantasy","[10751, 14, 12]",False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,False,False,False,False,False,False
2,2,Harry Potter and the Deathly Hallows Part 1,harry potter and the deathly hallows part 1,WB,296000000.0,664300000.0,2010,,"[12, 14, 10751]",,,,,,,,,,,,,,,,,,,,,,
3,3,Inception,inception,WB,292600000.0,535700000.0,2010,"Action,Adventure,Sci-Fi","[28, 878, 12]",True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
4,4,Shrek Forever After,shrek forever after,P/DW,238700000.0,513900000.0,2010,"Adventure,Animation,Comedy","[35, 12, 14, 16, 10751]",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
5,5,The Twilight Saga: Eclipse,the twilight saga eclipse,Sum.,300500000.0,398000000.0,2010,"Adventure,Drama,Fantasy","[12, 14, 18, 10749]",False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,False,False,False,False
6,6,Iron Man 2,iron man 2,Par.,312400000.0,311500000.0,2010,"Action,Adventure,Sci-Fi","[12, 28, 878]",True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
7,7,Tangled,tangled,BV,200800000.0,391000000.0,2010,"Adventure,Animation,Comedy","[16, 10751]",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
8,8,Despicable Me,despicable me,Uni.,251500000.0,291600000.0,2010,"Animation,Comedy,Family","[16, 10751, 35]",False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False
9,9,How to Train Your Dragon,how to train your dragon,P/DW,217600000.0,277300000.0,2010,"Action,Adventure,Animation","[14, 12, 16, 10751]",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
10,10,Clash of the Titans (2010),clash of the titans (2010),WB,163200000.0,330000000.0,2010,,,,,,,,,,,,,,,,,,,,,,,,
11,11,The Chronicles of Narnia: The Voyage of the Dawn Treader,the chronicles of narnia the voyage of the dawn treader,Fox,104400000.0,311300000.0,2010,"Adventure,Family,Fantasy","[12, 10751, 14]",False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,,False,False,False,False,False,False
12,12,The King's Speech,the kings speech,Wein.,135500000.0,275400000.0,2010,,"[18, 36]",,,,,,,,,,,,,,,,,,,,,,
