title,studio,domestic_gross,foreign_gross,year,genre pull,pull from tmdb
Toy Story 3,BV,415000000,652000000,2010,"Adventure,Animation,Comedy","[16, 10751, 35]"
Alice in Wonderland,BV,334200000,691300000,2010,"Adventure,Family,Fantasy","[10751, 14, 12]"
Harry Potter and the Deathly Hallows Part 1,WB,296000000,664300000,2010,,
Inception,WB,292600000,535700000,2010,"Action,Adventure,Sci-Fi","[28, 878, 12]"
Shrek Forever After,P/DW,238700000,513900000,2010,"Adventure,Animation,Comedy","[35, 12, 14, 16, 10751]"
The Twilight Saga: Eclipse,Sum.,300500000,398000000,2010,"Adventure,Drama,Fantasy","[12, 14, 18, 10749]"
Iron Man 2,Par.,312400000,311500000,2010,"Action,Adventure,Sci-Fi","[12, 28, 878]"
Tangled,BV,200800000,391000000,2010,"Adventure,Animation,Comedy","[16, 10751]"
Despicable Me,Uni.,251500000,291600000,2010,"Animation,Comedy,Family","[16, 10751, 35]"
How to Train Your Dragon,P/DW,217600000,277300000,2010,"Action,Adventure,Animation", 
Clash of the Titans (2010),WB,163200000,330000000,2010,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000,311300000,2010,"Adventure,Family,Fantasy","[12, 10751, 14]"
The King's Speech,Wein.,135500000,275400000,2010,,"[18, 36]"
Tron Legacy,BV,172100000,228000000,2010,,
The Karate Kid,Sony,176600000,182500000,2010,"Action,Drama,Family","[28, 12, 18, 10751]"
Prince of Persia: The Sands of Time,BV,90800000,245600000,2010,,"[12, 14, 28, 10749]"
Black Swan,FoxS,107000000,222400000,2010,"Drama,Thriller","[18, 53]"
Megamind,P/DW,148400000,173500000,2010,"Action,Animation,Comedy","[16, 28, 35, 10751, 878]"
Robin Hood,Uni.,105300000,216400000,2010,"Action,Adventure,Drama","[28, 12, 18]"
The Last Airbender,Par.,131800000,187900000,2010,"Action,Adventure,Family","[28, 12, 10751, 14]"
Little Fockers,Uni.,148400000,162200000,2010,"Comedy,Romance","[35, 10749]"
Resident Evil: Afterlife,SGem,60100000,240100000,2010,"Action,Adventure,Horror","[28, 12, 27, 878]"
Shutter Island,Par.,128000000,166800000,2010,"Mystery,Thriller","[18, 53, 9648]"
Salt,Sony,118300000,175200000,2010,"Action,Mystery,Thriller","[28, 9648, 53]"
