"region","indicator","Unit","Date","Value"
"Tanzania","Population (millions)","millions","2005","36.2"
"Tanzania","Population (millions)","millions","2006","37.5"
"Tanzania","Population (millions)","millions","2007","38.3"
"Tanzania","Population (millions)","millions","2008","39.5"
"Tanzania","Population (millions)","millions","2009","40.7"
"Tanzania","Population (millions)","millions","2010","41.9"
"Tanzania","Population (millions)","millions","2011","43.2"
"Tanzania","Population (millions)","millions","2012","43.6"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2005","15965294"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2006","17941268"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2007","20948403"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2008","24754457.1"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2009","28212646"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2010","32293479"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2011","37532962.2"
"Tanzania","Gross Domestic Product, at current prices (Shs. million)","Shs. million","2012","44717663.3"
"Tanzania","Total Water production (cubic metres)","cubic meters","2009","111327583"
"Tanzania","Total Water production (cubic metres)","cubic meters","2010","116552327"
"Tanzania","Total Water production (cubic metres)","cubic meters","2011","116455658"
"Tanzania","Total Water production (cubic metres)","cubic meters","2012","124481714"
"Tanzania","Estimated Water Demand (cubic metres)","cubic meters","2009","127373682"
"Tanzania","Revenue Collection (Tshs)","Tshs","2009","35805689951"
"Tanzania","Revenue Collection (Tshs)","Tshs","2010","40290336405"
"Tanzania","Revenue Collection (Tshs)","Tshs","2011","48762513011"
"Tanzania","Revenue Collection (Tshs)","Tshs","2012","57523487084"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","1829"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","1752"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","1911"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","1807"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","1915"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","1985"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","2327"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","2711"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","2604"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","2668"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","3288"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","3598"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","3116"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","4091"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","3996"
"Tanzania","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","4444"
"Tanzania","Tax Revenue","Shs.million","2005","1615248"
"Tanzania","Tax Revenue","Shs.million","2006","1946433"
"Tanzania","Tax Revenue","Shs.million","2007","2529439"
"Tanzania","Tax Revenue","Shs.million","2008","3359250"
"Tanzania","Tax Revenue","Shs.million","2009","4043674"
"Tanzania","Tax Revenue","Shs.million","2010","4427834"
"Tanzania","Tax Revenue","Shs.million","2011","5293277"
"Tanzania","Tax Revenue","Shs.million","2012","6480478"
"Tanzania","Tax Revenue","Shs.million","2013","8054035"
"Tanzania","Domestic Revenue","Shs.million","2005","1773710"
"Tanzania","Domestic Revenue","Shs.million","2006","2124844"
"Tanzania","Domestic Revenue","Shs.million","2007","2739022"
"Tanzania","Domestic Revenue","Shs.million","2008","3634581"
"Tanzania","Domestic Revenue","Shs.million","2009","4293075"
"Tanzania","Domestic Revenue","Shs.million","2010","4661540"
"Tanzania","Domestic Revenue","Shs.million","2011","5577986"
"Tanzania","Domestic Revenue","Shs.million","2012","7025884"
"Tanzania","Domestic Revenue","Shs.million","2013","8786970"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","1743"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","1663"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","1807"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","1692"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","1810"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","1858"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","2194"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","2550"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","2419"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","2464"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","3057"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","3369"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","2930"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","3917"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","3719"
"Mainland","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","4145"
"Arusha","Total Water production (cubic metres)","cubic meters","2009","13197478"
"Arusha","Total Water production (cubic metres)","cubic meters","2010","14721190"
"Arusha","Total Water production (cubic metres)","cubic meters","2011","13130365"
"Arusha","Total Water production (cubic metres)","cubic meters","2012","14154190"
"Arusha","Estimated Water Demand (cubic metres)","cubic meters","2009","18001080"
"Arusha","Revenue Collection (Tshs)","Tshs","2009","3984732776"
"Arusha","Revenue Collection (Tshs)","Tshs","2010","4228767804"
