"location","variable","Unit","Date","Value"
"Tanzania","Population in ""000""","thousands","2002","34441"
"Tanzania","Population in ""000""","thousands","2010","43188"
"Tanzania","Population in ""000""","thousands","2012","44928.923"
"Tanzania","Density/km2","persons per sq. km","2010","49"
"Tanzania","Density/km2","persons per sq. km","2012","51"
"Tanzania","Total, % HIV Positive","%","2008","5.8"
"Tanzania","Total, % HIV Positive","%","2012","5.1"
"Tanzania","Total Exports","TShs. Billion","2005","1086"
"Tanzania","Total Exports","TShs. Billion","2006","1398.4"
"Tanzania","Total Exports","TShs. Billion","2007","1105.6"
"Tanzania","Total Exports","TShs. Billion","2008","1428.4"
"Tanzania","Total Exports","TShs. Billion","2009","1907.7"
"Tanzania","Total Exports","TShs. Billion","2010","2088.7"
"Tanzania","Total Exports","TShs. Billion","2011","4559.8"
"Tanzania","Total Exports","TShs. Billion","2012","4460.3"
"Tanzania","Total Imports","TShs. Billion","2005","3124.6"
"Tanzania","Total Imports","TShs. Billion","2006","5542"
"Tanzania","Total Imports","TShs. Billion","2007","8272.6"
"Tanzania","Total Imports","TShs. Billion","2008","9569.1"
"Tanzania","Total Imports","TShs. Billion","2009","8446.8"
"Tanzania","Total Imports","TShs. Billion","2010","12314.8"
"Tanzania","Total Imports","TShs. Billion","2011","17417.6"
"Tanzania","Total Imports","TShs. Billion","2012","21201.4"
"Tanzania","Number of Household, Short Rainy Season","","2008","1911753"
"Tanzania","Planted Area (ha), Short Rainy Season","Hectares","2008","1777956"
"Tanzania","Number of Household, Long Rainy Season","","2008","4550745"
"Tanzania","Planted Area (ha), Long Rainy Season","Hectares","2008","7030815"
"Tanzania","Total area Planted (ha)","Hectares","2008","8808771"
"Tanzania","% Area Planted in Short Rainy Season","%","2008","20.2"
"Tanzania","Maize, Quantity Harvested (tons/ha)","","2003","2617115"
"Tanzania","Maize, Quantity Harvested (tons/ha)","","2008","5444178"
"Tanzania","Paddy, Quantity Harvested (tons/ha)","","2003","601786"
"Tanzania","Paddy, Quantity Harvested (tons/ha)","","2008","1431946"
"Mainland","Population in ""000""","thousands","2002","33460"
"Mainland","Population in ""000""","thousands","2010","41914"
"Mainland","Population in ""000""","thousands","2012","43625.354"
"Mainland","Density/km2","persons per sq. km","2010","47"
"Mainland","Density/km2","persons per sq. km","2012","50"
"Mainland","Number of Household, Short Rainy Season","","2008","1870233"
"Mainland","Planted Area (ha), Short Rainy Season","Hectares","2008","1763152"
"Mainland","Number of Household, Long Rainy Season","","2008","4462382"
"Mainland","Planted Area (ha), Long Rainy Season","Hectares","2008","6993162"
"Mainland","Total area Planted (ha)","Hectares","2008","8756314"
"Mainland","% Area Planted in Short Rainy Season","%","2008","20.1"
"Mainland","Maize, Quantity Harvested (tons/ha)","","2003","2613970"
"Mainland","Maize, Quantity Harvested (tons/ha)","","2008","5438776"
"Mainland","Paddy, Quantity Harvested (tons/ha)","","2003","594619"
"Mainland","Paddy, Quantity Harvested (tons/ha)","","2008","1399681"
"Dodoma","Climatic Condition","mm","2010M1","104"
"Dodoma","Climatic Condition","mm","2010M2","122.5"
"Dodoma","Climatic Condition","mm","2010M3","39.4"
"Dodoma","Climatic Condition","mm","2010M4","4.9"
"Dodoma","Climatic Condition","mm","2010M5","0.2"
"Dodoma","Climatic Condition","mm","2010M6","0"
"Dodoma","Climatic Condition","mm","2010M7","0"
"Dodoma","Climatic Condition","mm","2010M8","0"
"Dodoma","Climatic Condition","mm","2010M9","0"
