,title,studio,year,total_gross,runtime_minutes,averagerating,numvotes,primary_genre,sub_genre,other_genre
0,Toy Story 3,BV,2010,1067000000,103.0,8.3,682218,Adventure,Animation,Comedy
1,Inception,WB,2010,828300000,148.0,8.8,1841066,Action,Adventure,Sci-Fi
2,Shrek Forever After,P/DW,2010,752600000,93.0,6.3,167532,Adventure,Animation,Comedy
3,The Twilight Saga: Eclipse,Sum.,2010,698500000,124.0,5.0,211733,Adventure,Drama,Fantasy
4,Iron Man 2,Par.,2010,623900000,124.0,7.0,657690,Action,Adventure,Sci-Fi
5,Tangled,BV,2010,591800000,100.0,7.8,366366,Adventure,Animation,Comedy
6,Despicable Me,Uni.,2010,543100000,95.0,7.7,464511,Animation,Comedy,Family
7,How to Train Your Dragon,P/DW,2010,494900000,98.0,8.1,611299,Action,Adventure,Animation
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,2010,415700000,113.0,6.3,129663,Adventure,Family,Fantasy
9,The King's Speech,Wein.,2010,410900000,118.0,8.0,593629,Biography,Drama,History
10,The Karate Kid,Sony,2010,359100000,140.0,6.2,146401,Action,Drama,Family
11,Prince of Persia: The Sands of Time,BV,2010,336400000,116.0,6.6,254975,Action,Adventure,Fantasy
12,Black Swan,FoxS,2010,329400000,108.0,8.0,648854,Drama,Thriller,
13,Megamind,P/DW,2010,321900000,95.0,7.3,207488,Action,Animation,Comedy
14,Robin Hood,Uni.,2010,321700000,140.0,6.6,239480,Action,Adventure,Drama
18,The Last Airbender,Par.,2010,319700000,103.0,4.1,137734,Action,Adventure,Family
19,Little Fockers,Uni.,2010,310600000,98.0,5.5,99222,Comedy,Romance,
20,Resident Evil: Afterlife,SGem,2010,300200000,96.0,5.9,153270,Action,Adventure,Horror
21,Shutter Island,Par.,2010,294800000,138.0,8.1,1005960,Mystery,Thriller,
22,Salt,Sony,2010,293500000,100.0,6.4,277204,Action,Mystery,Thriller
24,The Tourist,Sony,2010,278300000,103.0,6.0,206714,Action,Adventure,Thriller
25,The Expendables,LGF,2010,274500000,103.0,6.5,307897,Action,Adventure,Thriller
26,Grown Ups,Sony,2010,271400000,102.0,6.0,210377,Comedy,,
27,True Grit,Par.,2010,252200000,110.0,7.6,284034,Adventure,Drama,Western
29,The Social Network,Sony,2010,225000000,120.0,7.7,568578,Biography,Drama,
30,Valentine's Day,WB (NL),2010,216500000,125.0,5.7,107171,Comedy,Romance,
31,The Sorcerer's Apprentice,BV,2010,215300000,109.0,6.1,143862,Action,Adventure,Family
32,Due Date,WB,2010,211700000,95.0,6.5,303523,Adventure,Comedy,
33,Eat Pray Love,Sony,2010,204600000,133.0,5.8,77709,Drama,Romance,
39,Paranormal Activity 2,Par.,2010,177600000,91.0,5.7,93122,Horror,,
40,The A-Team,Fox,2010,177200000,117.0,6.8,235256,Action,Adventure,Thriller
41,The Other Guys,Sony,2010,170400000,107.0,6.7,221664,Action,Comedy,Crime
42,Unstoppable,Fox,2010,167800000,98.0,6.8,173019,Action,Thriller,
46,The Book of Eli,WB,2010,157100000,118.0,6.9,271307,Action,Adventure,Drama
47,The Town,WB,2010,154000000,125.0,7.6,322524,Crime,Drama,Thriller
48,Date Night,Fox,2010,152300000,88.0,6.3,144683,Comedy,Crime,Romance
49,Legend of the Guardians: The Owls of Ga'Hoole,WB,2010,140100000,97.0,7.0,73790,Action,Adventure,Animation
50,The Wolfman,Uni.,2010,139800000,103.0,5.8,97873,Drama,Fantasy,Horror
51,The Bounty Hunter,Sony,2010,136399999,110.0,5.6,112444,Action,Comedy,Romance
53,Wall Street: Money Never Sleeps,Fox,2010,134800000,133.0,6.2,93486,Drama,,
54,The Fighter,Par.,2010,129200000,116.0,7.8,316539,Biography,Drama,Sport
55,Predators,Fox,2010,127200000,107.0,6.4,199764,Action,Adventure,Sci-Fi
56,Dear John,SGem,2010,115000000,108.0,6.3,128657,Drama,Romance,War
60,Life as We Know It,WB,2010,105700000,114.0,6.6,113077,Comedy,Drama,Romance
61,Hereafter,WB,2010,105200000,129.0,6.5,87288,Drama,Fantasy,Romance
62,The Girl with the Dragon Tattoo,MBox,2010,104400000,158.0,7.8,387580,Crime,Drama,Mystery
63,Killers,LGF,2010,98200000,100.0,5.4,82237,Action,Comedy,Romance
65,Kick-Ass,LGF,2010,96200000,117.0,7.6,497363,Action,Comedy,
66,Green Zone,Uni.,2010,94900000,115.0,6.8,122132,Action,Drama,Thriller
68,Get Him to the Greek,Uni.,2010,91300000,109.0,6.4,161653,Adventure,Comedy,Music
69,Burlesque,SGem,2010,89500000,119.0,6.4,71021,Drama,Music,Musical
71,The Last Song,BV,2010,89100000,107.0,6.0,74914,Drama,Music,Romance
72,Dinner for Schmucks,P/DW,2010,86800000,114.0,5.9,91546,Comedy,,
74,Piranha 3D,W/Dim.,2010,83200000,88.0,5.4,81327,Comedy,Horror,
75,Edge of Darkness,WB,2010,81100000,117.0,6.6,84753,Crime,Drama,Mystery
240,Transformers: Dark of the Moon,P/DW,2011,1123800000,154.0,6.2,366409,Action,Adventure,Sci-Fi
241,Pirates of the Caribbean: On Stranger Tides,BV,2011,1045700000,136.0,6.6,447624,Action,Adventure,Fantasy
242,Mission: Impossible - Ghost Protocol,Par.,2011,694700000,132.0,7.4,428142,Action,Adventure,Thriller
243,Kung Fu Panda 2,P/DW,2011,665600000,90.0,7.2,228465,Action,Adventure,Animation
244,Fast Five,Uni.,2011,626100000,130.0,7.3,329892,Action,Crime,Thriller
245,The Hangover Part II,WB,2011,586800000,102.0,6.5,432800,Comedy,Mystery,
246,The Smurfs,Sony,2011,563700000,103.0,5.5,77577,Adventure,Animation,Comedy
247,Cars 2,BV,2011,562200000,106.0,6.2,138914,Adventure,Animation,Comedy
248,Puss in Boots,P/DW,2011,555000000,90.0,6.6,133355,Action,Adventure,Animation
249,Sherlock Holmes: A Game of Shadows,WB,2011,545400000,129.0,7.5,394189,Action,Adventure,Crime
250,Rio,Fox,2011,484600000,96.0,6.9,191621,Adventure,Animation,Comedy
253,Rise of the Planet of the Apes,Fox,2011,481800000,105.0,7.6,473020,Action,Drama,Sci-Fi
254,Thor,Par.,2011,449300000,115.0,7.0,683264,Action,Adventure,Fantasy
255,The Adventures of Tintin,Par.,2011,374000000,107.0,7.3,202430,Action,Adventure,Animation
256,Captain America: The First Avenger,Par.,2011,370600000,124.0,6.9,668137,Action,Adventure,Sci-Fi
257,X-Men: First Class,Fox,2011,353600000,131.0,7.7,608930,Action,Adventure,Sci-Fi
259,Real Steel,BV,2011,299300000,127.0,7.1,283534,Action,Drama,Family
260,Bridesmaids,Uni.,2011,288400000,125.0,6.8,249501,Comedy,Romance,
261,Super 8,Par.,2011,260100000,112.0,7.0,320575,Mystery,Sci-Fi,Thriller
262,Rango,Par.,2011,245700000,107.0,7.2,215761,Adventure,Animation,Comedy
263,The Green Hornet,Sony,2011,227800000,119.0,5.8,148622,Action,Comedy,Crime
264,Immortals,Rela.,2011,226900000,110.0,6.0,152992,Action,Drama,Fantasy
265,Green Lantern,WB,2011,219900000,114.0,5.5,252281,Action,Adventure,Sci-Fi
266,The Help,BV,2011,216600000,146.0,8.1,392699,Drama,,
267,Bad Teacher,Sony,2011,216200000,92.0,5.7,181189,Comedy,Romance,
268,Horrible Bosses,WB (NL),2011,209600000,98.0,6.9,398695,Comedy,Crime,
269,Paranormal Activity 3,Par.,2011,207000000,83.0,5.8,85689,Horror,Mystery,Thriller
270,Mr. Popper's Penguins,Fox,2011,187300000,94.0,6.0,80540,Comedy,Family,Fantasy
271,Hugo,Par.,2011,185800000,126.0,7.5,284869,Adventure,Drama,Family
274,War Horse,BV,2011,177600000,146.0,7.2,136447,Drama,History,War
