field_1,latitude,longitude,adm1
"0",-9.8563217700,34.9380927500,Iringa
"1",-2.1474656900,34.6987661000,Kaskazini-Pemba
"2",-3.8213285300,37.4606644600,Kusini-Pemba
"3",-11.1552977200,38.4861608800,Tanga
"4",-1.8253588500,31.1308467100,Ruvuma
"5",-4.7655872800,39.1727956000,Arusha
"6",-3.7663647200,33.3624098200,Kagera
"7",-4.2261980200,32.6206170700,Kagera
"8",-5.1467118100,32.7111000100,Kaskazini-Pemba
"9",-1.2570506100,30.6269905300,Ruvuma
"10",-7.0341393900,39.2095181200,Kusini-Pemba
"11",-10.5741746800,35.7702578500,Tanga
"12",-3.2901938000,33.7981061200,Manyara
"13",-3.1817833000,37.0925741200,Lindi
"14",-3.6293333500,34.3640726800,Kusini Unguja
"15",-8.2749616300,31.4441213400,Kaskazini-Pemba
"16",-9.1061845800,34.6424388400,Tabora
"17",-9.0855149700,34.5692661100,Tabora
"18",-1.9478680100,32.9201538100,Kagera
"19",-9.8944125000,34.5089673200,Iringa
"20",-9.5949896500,34.4734298500,Tabora
"21",-0.0000000200,0.0000000000,
"22",-8.9800142900,34.5869010800,Tabora
"23",-4.1255946800,37.9400294900,Lindi
"24",-4.4955675800,29.7470656700,Tabora
"25",-3.3175364800,37.4227513200,Manyara
"26",-9.9425316600,39.3707765100,Tanga
"27",-1.7353612400,31.1042571200,Ruvuma
"28",-3.2635263000,37.6111257200,Lindi
"29",-3.1919892600,37.0616883700,Lindi
"30",-5.7909999100,36.1083125000,Kigoma
"31",-6.6361041900,38.3635545400,Kusini-Pemba
"32",-3.2906272500,37.4923337100,Manyara
"33",-9.7159095400,34.4783558600,Iringa
"34",-7.8899863000,39.8129122400,Pwani
"35",-3.2930033600,36.6186994600,Lindi
"36",-9.6385199300,33.8543447300,Tabora
"37",-4.6479063000,35.8583725900,Kilimanjaro
"38",-8.2243987200,35.8902642900,Kaskazini-Unguja
"39",-3.8945605600,30.6133054000,Shinyanga
"40",-3.4768494200,37.4200269200,Lindi
"41",-9.2046492300,33.9279017600,Singida
