"tconst","averagerating","numvotes"
"tt10356526","8.3000","31"
"tt10384606","8.9000","559"
"tt1042974","6.4000","20"
"tt1043726","4.2000","50352"
"tt1060240","6.5000","21"
"tt1069246","6.2000","326"
"tt1094666","7.0000","1613"
"tt1130982","6.4000","571"
"tt1156528","7.2000","265"
"tt1161457","4.2000","148"
"tt1171222","5.1000","8296"
"tt1174693","5.8000","2381"
"tt1181840","7.0000","5494"
"tt1193623","8.0000","5"
"tt1199588","5.5000","74"
"tt1204784","5.8000","6"
"tt1210166","7.6000","326657"
"tt1212419","6.5000","87288"
"tt1220911","5.0000","941"
"tt1229238","7.4000","428142"
"tt1232829","7.2000","477771"
"tt1235548","6.6000","2725"
"tt1243974","5.4000","54646"
"tt1250861","6.2000","416"
"tt1258812","4.0000","21"
"tt1261945","4.4000","69199"
"tt1266037","7.0000","1413"
"tt1270291","5.8000","5728"
"tt1270761","5.6000","44490"
"tt1272886","6.1000","6688"
"tt1274297","5.4000","381"
"tt1283887","5.4000","2527"
"tt1285219","3.4000","387"
"tt1287879","7.7000","76"
"tt1290476","7.2000","6"
"tt1294141","4.5000","113"
"tt1320239","6.2000","18431"
"tt1322312","6.3000","54421"
"tt1323962","5.1000","101"
"tt1325014","6.7000","4240"
"tt1325019","7.2000","29"
"tt1326743","8.4000","21"
"tt1327602","7.8000","8"
"tt1328913","5.2000","738"
"tt1331329","3.6000","1621"
"tt1332570","2.1000","17"
"tt1343110","2.5000","345"
"tt1343740","4.6000","495"
"tt1346690","7.7000","7"
"tt1352393","7.7000","1293"
"tt1358596","7.7000","6"
"tt1360829","5.0000","223"
"tt1368858","5.4000","4302"
"tt1374988","6.1000","163"
"tt1376213","5.4000","5257"
"tt1378667","7.5000","31"
"tt1379736","5.7000","15"
"tt1381418","5.4000","6220"
"tt1400515","3.5000","1701"
"tt1403981","7.1000","129443"
"tt1403990","8.5000","31"
"tt1404830","5.3000","1768"
"tt1409015","8.2000","40"
"tt1417086","7.5000","197"
"tt1418760","6.4000","1502"
"tt1420547","6.1000","16"
"tt1422020","7.0000","10025"
"tt1426379","3.8000","9"
"tt1426385","4.9000","19"
"tt1428464","6.4000","227"
"tt1438493","6.3000","86"
"tt1443518","5.5000","297"
"tt1447483","6.9000","28"
"tt1450750","8.6000","27"
"tt1456110","6.5000","60"
"tt1460739","7.3000","354"
"tt1460743","6.9000","6990"
"tt1465505","6.4000","5273"
"tt1465519","4.7000","1497"
"tt1467290","6.3000","173"
"tt1468387","6.5000","2306"
"tt1474456","3.2000","103"
"tt1478277","2.6000","102"
"tt1479320","5.6000","143"
"tt1480670","5.2000","303"
"tt1486670","4.7000","3713"
"tt1488109","8.2000","14"
"tt1492849","5.2000","534"
"tt1494611","7.3000","102"
"tt1499658","6.9000","398695"
"tt1508689","4.7000","16"
"tt1510989","3.9000","83"
