id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,"Dec 18, 2009",Avatar,"$425,000,000","$760,507,625","$2,776,345,279"
2,"May 20, 2011",Pirates of the Caribbean: On Stranger Tides,"$410,600,000","$241,063,875","$1,045,663,875"
3,"Jun 7, 2019",Dark Phoenix,"$350,000,000","$42,762,350","$149,762,350"
4,"May 1, 2015",Avengers: Age of Ultron,"$330,600,000","$459,005,868","$1,403,013,963"
5,"Dec 15, 2017",Star Wars Ep. VIII: The Last Jedi,"$317,000,000","$620,181,382","$1,316,721,747"
6,"Dec 18, 2015",Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,053,311,220"
7,"Apr 27, 2018",Avengers: Infinity War,"$300,000,000","$678,815,482","$2,048,134,200"
8,"May 24, 2007",Pirates of the Caribbean: At Worldâs End,"$300,000,000","$309,420,425","$963,420,425"
9,"Nov 17, 2017",Justice League,"$300,000,000","$229,024,295","$655,945,209"
10,"Nov 6, 2015",Spectre,"$300,000,000","$200,074,175","$879,620,923"
11,"Jul 20, 2012",The Dark Knight Rises,"$275,000,000","$448,139,099","$1,084,439,099"
12,"May 25, 2018",Solo: A Star Wars Story,"$275,000,000","$213,767,512","$393,151,347"
13,"Jul 2, 2013",The Lone Ranger,"$275,000,000","$89,302,115","$260,002,115"
14,"Mar 9, 2012",John Carter,"$275,000,000","$73,058,679","$282,778,100"
15,"Nov 24, 2010",Tangled,"$260,000,000","$200,821,936","$586,477,240"
16,"May 4, 2007",Spider-Man 3,"$258,000,000","$336,530,303","$894,860,230"
17,"May 6, 2016",Captain America: Civil War,"$250,000,000","$408,084,349","$1,140,069,413"
18,"Mar 25, 2016",Batman v Superman: Dawn of Justice,"$250,000,000","$330,360,194","$867,500,281"
19,"Dec 14, 2012",The Hobbit: An Unexpected Journey,"$250,000,000","$303,003,568","$1,017,003,568"
20,"Jul 15, 2009",Harry Potter and the Half-Blood Prince,"$250,000,000","$302,089,278","$935,213,767"
21,"Dec 13, 2013",The Hobbit: The Desolation of Smaug,"$250,000,000","$258,366,855","$960,366,855"
22,"Dec 17, 2014",The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$945,577,621"
23,"Apr 14, 2017",The Fate of the Furious,"$250,000,000","$225,764,765","$1,234,846,267"
24,"Jun 28, 2006",Superman Returns,"$232,000,000","$200,120,000","$374,085,065"
25,"May 26, 2017",Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$172,558,876","$788,241,137"
26,"Nov 14, 2008",Quantum of Solace,"$230,000,000","$169,368,427","$591,692,078"
27,"May 4, 2012",The Avengers,"$225,000,000","$623,279,547","$1,517,935,897"
28,"Jul 7, 2006",Pirates of the Caribbean: Dead Manâs Chest,"$225,000,000","$423,315,812","$1,066,215,812"
29,"Jun 14, 2013",Man of Steel,"$225,000,000","$291,045,518","$667,999,518"
30,"May 16, 2008",The Chronicles of Narnia: Prince Caspian,"$225,000,000","$141,621,490","$417,341,288"
31,"Jul 3, 2012",The Amazing Spider-Man,"$220,000,000","$262,030,663","$757,890,267"
32,"May 18, 2012",Battleship,"$220,000,000","$65,233,400","$313,477,717"
33,"Jun 21, 2017",Transformers: The Last Knight,"$217,000,000","$130,168,683","$602,893,340"
34,"Jun 12, 2015",Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864"
35,"May 25, 2012",Men in Black 3,"$215,000,000","$179,020,854","$654,213,485"
36,"Jun 24, 2009",Transformers: Revenge of the Fallen,"$210,000,000","$402,111,870","$836,519,699"
37,"Jun 27, 2014",Transformers: Age of Extinction,"$210,000,000","$245,439,076","$1,104,039,076"
38,"May 26, 2006",X-Men: The Last Stand,"$210,000,000","$234,362,462","$459,260,946"
39,"May 14, 2010",Robin Hood,"$210,000,000","$105,487,148","$322,459,006"
40,"Dec 14, 2005",King Kong,"$207,000,000","$218,080,025","$550,517,357"
41,"Dec 7, 2007",The Golden Compass,"$205,000,000","$70,107,728","$367,262,558"
42,"Feb 16, 2018",Black Panther,"$200,000,000","$700,059,566","$1,348,258,224"
43,"Dec 19, 1997",Titanic,"$200,000,000","$659,363,944","$2,208,208,395"
44,"Jun 15, 2018",Incredibles 2,"$200,000,000","$608,581,744","$1,242,520,711"
45,"Dec 16, 2016",Rogue One: A Star Wars Story,"$200,000,000","$532,177,324","$1,049,102,856"
46,"Jun 17, 2016",Finding Dory,"$200,000,000","$486,295,561","$1,021,215,193"
47,"Jun 18, 2010",Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
48,"May 3, 2013",Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272"
49,"May 5, 2017",Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$862,316,233"
50,"Jun 30, 2004",Spider-Man 2,"$200,000,000","$373,524,485","$795,110,670"
51,"Mar 5, 2010",Alice in Wonderland,"$200,000,000","$334,191,110","$1,025,491,110"
52,"Nov 8, 2012",Skyfall,"$200,000,000","$304,360,277","$1,110,526,981"
53,"Jun 21, 2013",Monsters University,"$200,000,000","$268,488,329","$743,588,329"
54,"Mar 8, 2013",Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051"
55,"May 23, 2014",X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
56,"May 2, 2014",The Amazing Spider-Man 2,"$200,000,000","$202,853,933","$708,996,336"
57,"Jun 24, 2011",Cars 2,"$200,000,000","$191,450,875","$560,155,383"
58,"Dec 17, 2010",Tron: Legacy,"$200,000,000","$172,062,763","$400,062,763"
59,"Nov 13, 2009",2012,"$200,000,000","$166,112,167","$757,677,748"
60,"Nov 16, 2018",Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$159,555,901","$652,220,086"
61,"May 21, 2009",Terminator Salvation,"$200,000,000","$125,322,469","$365,491,792"
62,"Jun 17, 2011",Green Lantern,"$200,000,000","$116,601,172","$219,535,492"
63,"May 28, 2010",Prince of Persia: Sands of Time,"$200,000,000","$90,759,676","$336,359,676"
64,"Jun 29, 2011",Transformers: Dark of the Moon,"$195,000,000","$352,390,543","$1,123,790,543"
65,"Jun 9, 2017",The Mummy,"$195,000,000","$80,101,125","$409,953,905"
66,"Mar 1, 2013",Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603"
67,"Apr 3, 2015",Furious 7,"$190,000,000","$353,007,020","$1,518,722,794"
68,"May 16, 2013",Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584"
69,"Jun 21, 2013",World War Z,"$190,000,000","$202,359,711","$531,514,650"
70,"May 10, 2013",The Great Gatsby,"$190,000,000","$144,840,419","$351,040,419"
71,"Nov 6, 2009",Disneyâs A Christmas Carol,"$190,000,000","$137,855,863","$315,709,697"
72,"Jul 12, 2013",Pacific Rim,"$190,000,000","$101,802,906","$411,002,906"
73,"Nov 25, 2015",The Good Dinosaur,"$187,500,000","$123,087,120","$333,771,037"
74,"May 2, 2008",Iron Man,"$186,000,000","$318,604,126","$585,171,547"
75,"Jul 18, 2008",The Dark Knight,"$185,000,000","$533,720,947","$1,001,996,207"
76,"May 22, 2008",Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000","$317,101,119","$786,635,413"
77,"Jun 22, 2012",Brave,"$185,000,000","$237,282,182","$554,606,532"
78,"Mar 10, 2017",Kong: Skull Island,"$185,000,000","$168,052,812","$561,072,059"
79,"Jul 22, 2016",Star Trek Beyond,"$185,000,000","$158,848,340","$335,802,233"
80,"Oct 6, 2017",Blade Runner 2049,"$185,000,000","$92,054,159","$259,357,408"
81,"May 24, 2019",Aladdin,"$182,000,000","$246,734,314","$619,234,314"
82,"Nov 3, 2017",Thor: Ragnarok,"$180,000,000","$315,058,289","$846,980,024"
83,"Dec 9, 2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000","$291,710,957","$720,539,572"
84,"May 30, 2014",Maleficent,"$180,000,000","$241,407,328","$758,536,735"
85,"Nov 18, 2016",Fantastic Beasts and Where to Find Them,"$180,000,000","$234,037,575","$802,402,853"
86,"Jun 27, 2008",WALL-E,"$180,000,000","$223,808,164","$532,508,025"
87,"Aug 10, 2007",Rush Hour 3,"$180,000,000","$140,125,968","$256,585,882"
88,"Jul 1, 2016",The Legend of Tarzan,"$180,000,000","$126,643,061","$348,902,025"
89,"Nov 23, 2011",Hugo,"$180,000,000","$73,864,507","$180,047,784"
90,"Jul 21, 2017",Valerian and the City of a Thousand Planets,"$180,000,000","$40,479,370","$215,098,356"
91,"Feb 6, 2015",Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519"
92,"Jul 27, 2018",Mission: ImpossibleâFallout,"$178,000,000","$220,159,104","$787,456,552"
93,"May 27, 2016",X-Men: Apocalypse,"$178,000,000","$155,442,489","$542,537,546"
94,"Aug 10, 2018",The Meg,"$178,000,000","$145,443,742","$529,530,715"
95,"Jun 6, 2014",Edge of Tomorrow,"$178,000,000","$100,206,256","$370,541,256"
96,"Mar 8, 2019",Captain Marvel,"$175,000,000","$426,525,952","$1,123,061,550"
97,"Apr 15, 2016",The Jungle Book,"$175,000,000","$364,001,123","$962,854,547"
98,"Jun 19, 2015",Inside Out,"$175,000,000","$356,461,711","$854,235,992"
99,"Jul 7, 2017",Spider-Man: Homecoming,"$175,000,000","$334,201,140","$880,166,350"
100,"Aug 5, 2016",Suicide Squad,"$175,000,000","$325,100,054","$746,059,887"
1,"May 29, 2009",Up,"$175,000,000","$293,004,164","$731,463,377"
2,"Nov 22, 2017",Coco,"$175,000,000","$209,726,015","$798,008,101"
3,"Nov 21, 2018",Ralph Breaks The Internet,"$175,000,000","$201,091,711","$524,283,695"
4,"Mar 27, 2009",Monsters vs. Aliens,"$175,000,000","$198,351,526","$381,687,380"
5,"Jun 16, 2017",Cars 3,"$175,000,000","$152,901,115","$383,541,369"
6,"Aug 7, 2009",G.I. Joe: The Rise of Cobra,"$175,000,000","$150,201,498","$302,469,017"
7,"Jun 30, 1999",Wild Wild West,"$175,000,000","$113,805,681","$221,229,335"
8,"Aug 1, 2008",The Mummy: Tomb of the Dragon Emperor,"$175,000,000","$102,491,776","$405,760,225"
9,"Jun 22, 2007",Evan Almighty,"$175,000,000","$100,289,690","$174,131,329"
10,"Jul 28, 1995",Waterworld,"$175,000,000","$88,246,220","$264,246,220"
11,"May 12, 2017",King Arthur: Legend of the Sword,"$175,000,000","$39,175,066","$139,630,336"
12,"Dec 25, 2013",47 Ronin,"$175,000,000","$38,362,475","$151,716,815"
13,"Jun 22, 2018",Jurassic World: Fallen Kingdom,"$170,000,000","$417,719,760","$1,305,772,799"
14,"Aug 1, 2014",Guardians of the Galaxy,"$170,000,000","$333,172,112","$770,867,516"
15,"May 7, 2010",Iron Man 2,"$170,000,000","$312,433,331","$621,156,389"
16,"Apr 4, 2014",Captain America: The Winter Soldier,"$170,000,000","$259,746,958","$714,401,889"
17,"Jul 11, 2014",Dawn of the Planet of the Apes,"$170,000,000","$208,545,589","$710,644,566"
18,"Nov 10, 2004",The Polar Express,"$170,000,000","$187,224,605","$311,365,187"
19,"Jun 1, 2012",Snow White and the Huntsman,"$170,000,000","$155,136,755","$401,021,746"
20,"Jul 1, 2003",Terminator 3: Rise of the Machines,"$170,000,000","$150,358,296","$433,058,296"
21,"May 7, 2004",Van Helsing,"$170,000,000","$120,150,546","$300,150,546"
22,"Mar 29, 2019",Dumbo,"$170,000,000","$113,883,318","$345,004,422"
23,"May 22, 2015",Tomorrowland,"$170,000,000","$93,436,322","$206,627,518"
24,"Feb 14, 2019",Alita: Battle Angel,"$170,000,000","$85,710,210","$402,976,036"
25,"May 31, 2019",Godzilla: King of the Monsters,"$170,000,000","$85,576,941","$299,276,941"
26,"May 27, 2016",Alice Through the Looking Glass,"$170,000,000","$77,042,381","$276,928,112"
27,"May 21, 2010",Shrek Forever After,"$165,000,000","$238,736,787","$756,244,673"
28,"Nov 4, 2016",Doctor Strange,"$165,000,000","$232,641,920","$676,404,566"
29,"Nov 7, 2014",Big Hero 6,"$165,000,000","$222,527,828","$652,127,828"
30,"Mar 26, 2010",How to Train Your Dragon,"$165,000,000","$217,581,232","$494,870,992"
31,"Nov 2, 2012",Wreck-It Ralph,"$165,000,000","$189,412,677","$496,511,521"
32,"Nov 5, 2014",Interstellar,"$165,000,000","$188,017,894","$666,379,375"
33,"Jun 24, 2016",Independence Day: Resurgence,"$165,000,000","$103,144,286","$384,169,424"
34,"Jul 29, 2011",Cowboys and Aliens,"$163,000,000","$100,368,560","$176,038,324"
35,"Mar 17, 2017",Beauty and the Beast,"$160,000,000","$504,014,165","$1,259,199,706"
36,"Dec 21, 2018",Aquaman,"$160,000,000","$335,061,807","$1,146,894,640"
37,"May 17, 2007",Shrek the Third,"$160,000,000","$322,719,944","$807,330,936"
38,"Jul 16, 2010",Inception,"$160,000,000","$292,576,195","$835,524,642"
39,"Nov 20, 2015",The Hunger Games: Mockingjay - Part 2,"$160,000,000","$281,723,902","$648,986,787"
40,"May 24, 2013",Fast and Furious 6,"$160,000,000","$238,679,850","$789,300,444"
41,"May 16, 2014",Godzilla,"$160,000,000","$200,676,069","$529,076,069"
42,"Jun 3, 2011",X-Men: First Class,"$160,000,000","$146,408,305","$355,408,305"
43,"Dec 25, 2008",The Curious Case of Benjamin Button,"$160,000,000","$127,509,326","$329,631,958"
44,"Jul 14, 2010",The Sorcerer's Apprentice,"$160,000,000","$63,150,991","$217,986,320"
45,"May 12, 2006",Poseidon,"$160,000,000","$60,674,817","$181,674,817"
46,"Jun 10, 2016",Warcraft,"$160,000,000","$47,225,655","$425,522,281"
47,"Sep 30, 2016",Deepwater Horizon,"$156,000,000","$61,433,527","$122,603,824"
48,"Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000","$104,386,950","$418,186,950"
49,"Jul 1, 2015",Terminator: Genisys,"$155,000,000","$89,760,956","$432,150,894"
50,"Mar 23, 2018",Pacific Rim: Uprising,"$155,000,000","$59,874,525","$290,930,148"
